
38480
0.5, 0.5, 0.5, 283, 16960
0.5, 0.5, 1.0, 592, 20892
0.5, 0.5, 1.5, 847, 29891
0.5, 0.5, 2.0, 809, 28670
0.5, 0.5, 2.5, 73, 40008
0.5, 1.0, 0.5, 427, 16732
0.5, 1.0, 1.0, 567, 18739
0.5, 1.0, 1.5, 872, 30617
0.5, 1.0, 2.0, 228, 28249
0.5, 1.0, 2.5, 16, 34558
0.5, 1.5, 0.5, 745, 12356
0.5, 1.5, 1.0, 261, 17870
0.5, 1.5, 1.5, 428, 31772
0.5, 1.5, 2.0, 573, 27673
0.5, 1.5, 2.5, 52, 36231
0.5, 2.0, 0.5, 989, 15669
0.5, 2.0, 1.0, 992, 15175
0.5, 2.0, 1.5, 263, 25643
0.5, 2.0, 2.0, 183, 23811
0.5, 2.0, 2.5, 31, 30553
0.5, 2.5, 0.5, 568, 15873
0.5, 2.5, 1.0, 613, 15360
0.5, 2.5, 1.5, 517, 23642
0.5, 2.5, 2.0, 741, 21195
0.5, 2.5, 2.5, 964, 32999
1.0, 0.5, 0.5, 225, 17798
1.0, 0.5, 1.0, 26, 12416
1.0, 0.5, 1.5, 386, 25907
1.0, 0.5, 2.0, 467, 25212
1.0, 0.5, 2.5, 429, 35842
1.0, 1.0, 0.5, 528, 17897
1.0, 1.0, 1.0, 464, 17559
1.0, 1.0, 1.5, 507, 30558
1.0, 1.0, 2.0, 623, 24253
1.0, 1.0, 2.5, 365, 37125
1.0, 1.5, 0.5, 683, 17017
1.0, 1.5, 1.0, 158, 17032
1.0, 1.5, 1.5, 443, 25388
1.0, 1.5, 2.0, 827, 31574
1.0, 1.5, 2.5, 382, 36784
1.0, 2.0, 0.5, 412, 15520
1.0, 2.0, 1.0, 370, 16626
1.0, 2.0, 1.5, 229, 28183
1.0, 2.0, 2.0, 606, 31688
1.0, 2.0, 2.5, 907, 40097
1.0, 2.5, 0.5, 491, 14111
1.0, 2.5, 1.0, 100, 19087
1.0, 2.5, 1.5, 631, 29249
1.0, 2.5, 2.0, 204, 26894
1.0, 2.5, 2.5, 909, 37130
1.5, 0.5, 0.5, 387, 15818
